"[all run data]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]"
,"1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0"
,"1088","31","1","1091","15","14","951","166","3","755","364","1","672","368","80","968","152","0","830","290","0","832","225","63","887","226","7","698","421","1"
,"1091","29","0","998","37","85","972","147","1","769","351","0","684","405","31","976","144","0","846","272","2","772","251","97","901","219","0","712","408","0"
,"1099","21","0","725","92","303","988","132","0","796","323","1","708","411","1","988","132","0","827","271","22","675","288","157","916","203","1","728","392","0"
,"1098","21","1","622","151","347","995","124","1","815","305","0","725","395","0","1002","118","0","813","281","26","662","314","144","933","185","2","738","382","0"
,"1098","22","0","628","204","288","1009","110","1","832","288","0","743","377","0","1010","109","1","809","289","22","651","347","122","939","171","10","750","370","0"
,"1099","21","0","630","256","234","1031","89","0","843","277","0","758","362","0","1014","104","2","814","296","10","645","381","94","950","168","2","766","353","1"
,"1016","34","70","628","309","183","1047","73","0","856","264","0","772","347","1","936","111","73","837","282","1","672","406","42","967","153","0","784","336","0"
,"759","81","280","638","355","127","1060","60","0","870","249","1","789","331","0","788","146","186","856","264","0","699","411","10","971","142","7","798","322","0"
,"633","134","353","660","400","60","1072","48","0","873","238","9","800","320","0","659","190","271","873","245","2","721","398","1","928","144","48","818","302","0"
,"628","193","299","687","426","7","1039","46","35","891","227","2","815","304","1","643","235","242","886","233","1","746","373","1","820","184","116","839","281","0"
,"635","242","243","701","419","0","936","77","107","913","206","1","833","287","0","650","279","191","904","216","0","780","340","0","695","222","203","859","261","0"
,"640","289","191","718","402","0","694","130","296","928","191","1","854","266","0","648","324","148","923","197","0","794","324","2","668","254","198","880","240","0"
,"644","338","138","732","388","0","632","185","303","941","178","1","870","250","0","664","361","95","921","188","11","806","314","0","653","297","170","895","225","0"
,"651","379","90","753","366","1","630","239","251","953","167","0","890","230","0","690","399","31","899","182","39","836","284","0","646","344","130","885","212","23"
,"691","410","19","767","353","0","635","288","197","971","149","0","906","214","0","708","408","4","847","203","70","843","274","3","677","381","62","826","219","75"
,"715","404","1","785","334","1","640","337","143","989","130","1","929","191","0","729","391","0","820","225","75","855","265","0","698","404","18","705","241","174"
